Density,Momentumx,Momentumy,Energy
1.1917,237.71,-0.01322,277220
1.1917,237.76,-0.0131,277210
1.1916,237.8,-0.012988,277200
1.1915,237.84,-0.012892,277190
1.1915,237.88,-0.012794,277170
1.1914,237.92,-0.012725,277160
1.1913,237.95,-0.01262,277150
1.1913,237.99,-0.012542,277140
1.1912,238.03,-0.012497,277130
1.1912,238.06,-0.013318,277120
1.1911,238.1,-0.0087751,277100
1.1911,238.16,0.0069635,277110
1.1909,238.06,-0.062813,277050
1.1908,238.07,-0.12346,277030
1.25,285.27,-9.7821E-06,292960
1.25,285.27,0.00030501,292960
1.25,285.27,0.00060519,292960
1.25,285.27,0.00089731,292960
1.25,285.26,0.0011949,292960
1.25,285.26,0.0014948,292970
1.25,285.26,0.0017965,292970
1.25,285.26,0.0021025,292970
1.25,285.25,0.0024145,292970
1.25,285.25,0.0027337,292980
1.25,285.24,0.0030616,292980
1.2501,285.24,0.0033999,292980
1.2501,285.23,0.0037504,292990
1.2501,285.22,0.0041149,292990
1.2501,285.21,0.0044954,293000
1.2502,285.21,0.0048941,293010
1.2502,285.19,0.0053132,293010
1.2503,285.18,0.0057554,293020
1.2503,285.17,0.0062232,293030
1.2504,285.15,0.0067196,293040
1.2504,285.14,0.007248,293050
1.2505,285.12,0.007812,293070
